Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1974","1974","t","0","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1975","1975","t","219","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1975","1975","t","0","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1976","1976","t","263","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1976","1976","t","0","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1977","1977","t","1481","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1977","1977","t","1","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1978","1978","t","692","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1978","1978","t","0","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1979","1979","t","252","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1979","1979","t","8","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1980","1980","t","211","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1980","1980","t","10","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1981","1981","t","226","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1981","1981","t","3","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1982","1982","t","239","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1982","1982","t","13","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1983","1983","t","253","A","Official figure",""
"TCL","Crops and livestock products","578","Norway","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1983","1983","t","1","A","Official figure",""
